id,fecha_contacto,empresa,ciudad_provincia,contacto_nombre,canal,url_web,tamano_aprox,estado,demo_fecha,pago_fecha,plan,notas,siguiente_paso
1,2026-07-14,Ejemplo Solar SL,Valencia,María López,linkedin,https://ejemplo.es,5,conversacion,,,,"Respondió: usan WordPress + WhatsApp","Agendar demo"
2,,,,,,,,,,,,,
3,,,,,,,,,,,,,
4,,,,,,,,,,,,,
5,,,,,,,,,,,,,
6,,,,,,,,,,,,,
7,,,,,,,,,,,,,
8,,,,,,,,,,,,,
9,,,,,,,,,,,,,
10,,,,,,,,,,,,,
11,,,,,,,,,,,,,
12,,,,,,,,,,,,,
13,,,,,,,,,,,,,
14,,,,,,,,,,,,,
15,,,,,,,,,,,,,
16,,,,,,,,,,,,,
17,,,,,,,,,,,,,
18,,,,,,,,,,,,,
19,,,,,,,,,,,,,
20,,,,,,,,,,,,,
21,,,,,,,,,,,,,
22,,,,,,,,,,,,,
23,,,,,,,,,,,,,
24,,,,,,,,,,,,,
25,,,,,,,,,,,,,
26,,,,,,,,,,,,,
27,,,,,,,,,,,,,
28,,,,,,,,,,,,,
29,,,,,,,,,,,,,
30,,,,,,,,,,,,,
31,,,,,,,,,,,,,
32,,,,,,,,,,,,,
33,,,,,,,,,,,,,
34,,,,,,,,,,,,,
35,,,,,,,,,,,,,
36,,,,,,,,,,,,,
37,,,,,,,,,,,,,
38,,,,,,,,,,,,,
39,,,,,,,,,,,,,
40,,,,,,,,,,,,,
41,,,,,,,,,,,,,
42,,,,,,,,,,,,,
43,,,,,,,,,,,,,
44,,,,,,,,,,,,,
45,,,,,,,,,,,,,
46,,,,,,,,,,,,,
47,,,,,,,,,,,,,
48,,,,,,,,,,,,,
49,,,,,,,,,,,,,
50,,,,,,,,,,,,,
51,,,,,,,,,,,,,
52,,,,,,,,,,,,,
53,,,,,,,,,,,,,
54,,,,,,,,,,,,,
55,,,,,,,,,,,,,
56,,,,,,,,,,,,,
57,,,,,,,,,,,,,
58,,,,,,,,,,,,,
59,,,,,,,,,,,,,
60,,,,,,,,,,,,,
